Tag,Title,Authors,Month,Year
Arbelaez_2014_CVPR,Multiscale Combinatorial Grouping,"Arbelaez, Pablo and Pont-Tuset, Jordi and Barron, Jonathan T. and Marques, Ferran and Malik, Jitendra",June,2014
Humayun_2014_CVPR,RIGOR: Reusing Inference in Graph Cuts for Generating Object Regions,"Humayun, Ahmad and Li, Fuxin and Rehg, James M.",June,2014
Hickson_2014_CVPR,Efficient Hierarchical Graph-Based Segmentation of RGBD Videos,"Hickson, Steven and Birchfield, Stan and Essa, Irfan and Christensen, Henrik",June,2014
Lian_2014_CVPR,Point Matching in the Presence of Outliers in Both Point Sets: A Concave Optimization Approach,"Lian, Wei and Zhang, Lei",June,2014
Chang_2014_CVPR,Multiple Structured-Instance Learning for Semantic Segmentation with Uncertain Training Data,"Chang, Feng-Ju and Lin, Yen-Yu and Hsu, Kuang-Jui",June,2014
Mumtaz_2014_CVPR,Joint Motion Segmentation and Background Estimation in Dynamic Scenes,"Mumtaz, Adeel and Zhang, Weichen and Chan, Antoni B.",June,2014
Ramakanth_2014_CVPR,SeamSeg: Video Object Segmentation using Patch Seams,"Avinash Ramakanth, S. and Venkatesh Babu, R.",June,2014
Casaca_2014_CVPR,Laplacian Coordinates for Seeded Image Segmentation,"Casaca, Wallace and Gustavo Nonato, Luis and Taubin, Gabriel",June,2014
Bai_2014_CVPR,Error-tolerant Scribbles Based Interactive Image Segmentation,"Bai, Junjie and Wu, Xiaodong",June,2014
Subbanna_2014_CVPR,Iterative Multilevel MRF Leveraging Context and Voxel Information for Brain Tumour Segmentation in MRI,"Subbanna, Nagesh and Precup, Doina and Arbel, Tal",June,2014
Jensen_2014_CVPR,Large Scale Multi-view Stereopsis Evaluation,"Jensen, Rasmus and Dahl, Anders and Vogiatzis, George and Tola, Engin and Aanaes, Henrik",June,2014
Tung_2014_CVPR,Timing-Based Local Descriptor for Dynamic Surfaces,"Tung, Tony and Matsuyama, Takashi",June,2014
Ventura_2014_CVPR,A Minimal Solution to the Generalized Pose-and-Scale Problem,"Ventura, Jonathan and Arth, Clemens and Reitmayr, Gerhard and Schmalstieg, Dieter",June,2014
Zheng_2014_CVPR,A General and Simple Method for Camera Pose and Focal Length Determination,"Zheng, Yinqiang and Sugimoto, Shigeki and Sato, Imari and Okutomi, Masatoshi",June,2014
Kuang_2014_CVPR,Partial Symmetry in Polynomial Systems and its Applications in Computer Vision,"Kuang, Yubin and Zheng, Yinqiang and Astrom, Kalle",June,2014
Kneip_2014_CVPR,Efficient Computation of Relative Pose for Multi-Camera Systems,"Kneip, Laurent and Li, Hongdong",June,2014
Zhou_2014_CVPR,Simultaneous Localization and Calibration: Self-Calibration of Consumer Depth Cameras,"Zhou, Qian-Yi and Koltun, Vladlen",June,2014
Cao_2014_CVPR,Minimal Scene Descriptions from Structure from Motion Models,"Cao, Song and Snavely, Noah",June,2014
Bodis-Szomoru_2014_CVPR,"Fast, Approximate Piecewise-Planar Modeling Based on Sparse Structure-from-Motion and Superpixels","Bodis-Szomoru, Andras and Riemenschneider, Hayko and Van Gool, Luc",June,2014
Nasihatkon_2014_CVPR,On Projective Reconstruction In Arbitrary Dimensions,"Nasihatkon, Behrooz and Hartley, Richard and Trumpf, Jochen",June,2014
Wang_2014_CVPR,Stereo under Sequential Optimal Sampling: A Statistical Analysis Framework for Search Space Reduction,"Wang, Yilin and Wang, Ke and Dunn, Enrique and Frahm, Jan-Michael",June,2014
