A_id,B_id
2063,2141
2066,7168
2069,6637
2069,4972
2069,1790
2069,3349
2069,5377
2069,1977
2075,6097
2075,1773
2075,4404
2075,6708
2075,8498
2078,1107
2081,1527
2081,5260
2081,3180
2084,1712
2084,2614
2084,5434
2090,8914
2090,7336
2090,2035
2090,1127
2090,1230
2090,2783
2090,987
2090,424
2090,6068
2096,9091
2099,1511
2099,2574
2102,3026
2102,4439
2102,6548
2102,1606
2102,1969
2102,1670
2114,5295
2114,2225
2114,4652
2114,1061
2114,3125
2114,6068
2114,1109
2114,4295
2114,1377
2114,6246
2114,6478
2114,4458
2114,9607
2114,7343
2114,8955
2114,9728
212,7182
212,1007
212,2888
212,2652
2123,9543
2123,7487
2123,5305
2123,1108
2123,6489
2135,2434
2135,6267
2141,8111
2141,9304
2141,9292
2141,5690
2141,2173
2141,375
2144,9704
2144,665
2144,5223
2144,3682
2144,6551
215,7168
215,9509
215,1363
2153,1821
2159,8524
2159,8079
2162,406
2162,446
2174,7614
2177,6351
2177,8308
218,9381
218,8412
218,8745
218,1751
218,3771
218,5268
218,3434
218,2760
218,3914
218,2152
218,1977
2180,2479
2180,3643
2180,2243
2180,5520
2180,609
2180,6467
2180,4404
2180,6437
2180,4512
2180,5347
2180,2466
2180,9752
2180,7213
2180,7295
2183,273
2183,9824
2195,9166
2195,7915
2195,6237
2195,120
2201,4391
2201,1574
2201,7109
2210,2381
2210,2698
2210,2464
2216,881
2216,8176
2216,7129
2219,4391
2219,2141
2219,1503
2237,7994
2237,4549
224,6879
2240,3914
2240,5232
2240,1951
2243,2761
2243,3017
2246,9741
2252,7676
2252,231
2267,5797
227,2652
227,1675
227,2910
227,1457
2270,4123
2291,9580
2291,1204
2297,3576
2297,4391
2300,462
2300,1776
2300,6039
2309,8799
2318,6998
2324,842
2324,7027
2330,7617
2330,8887
2330,7096
2330,5108
2330,5942
2330,5716
2339,2057
2339,2516
2339,884
2342,8447
2342,1977
2342,6141
2342,677
2342,2353
2342,4785
2351,1364
2351,7665
2354,406
2354,5036
2357,1027
2357,1986
2357,5347
2357,5434
2357,9816
236,3805
2363,6333
2366,9615
2366,8745
2366,3914
2372,1313
2375,1908
2375,519
2378,9326
2378,8428
2384,8750
2384,9641
